YEAR,QUARTER,MUNICIPALITY,TOTAL NUMBER OF LOANS,TOTAL LOAN AMOUNT
2022,1,MONROEVILLE,1,9750.00
2022,1,MT LEBANON,1,23375.00
2022,1,MUNHALL,1,21293.00
2022,1,SHALER,1,10255.00 
2022,1,WEST MIFFLIN,1,7150.00
2022,2,SWISSVALE,1,11000.00 
2022,2,WEST MIFFLIN,1,23550.00 
2022,3,BETHEL PARK,1,16796.00 
2022,3,ETNA,1,8440.00 
2022,3,JEFF HILLS,1,14571.06 
2022,3,WEST MIFFLIN,1,14051.70 
2022,4,BALDWIN TWP,1,24500.00 
2022,4,PORT VUE,2,41525.00 
2022,4,WEST MIFFLIN,1,6000.00 
2022,4,WILKINSBURG,2,35895.00 
2023,1,GLASSPORT,1,9450.00 
2023,1,PLUM,1,20000.00 
2023,1,ROSS,1,7925.00 
2023,1,SHALER,1,10300.00 
2023,1,WEST DEER,1,3750.00 
2023,1,WEST MIFFLIN,1,11480.00 
2023,1,WHITEHALL,1,8460.00 
2023,2,BETHEL PARK,1,10467.50 
2023,2,MILLVALE,1,12500.00 
2023,2,PLUM,1,22945.00 
2023,3,BALDWIN BOROUGH,1,14572.00 
2023,3,COLLIER,1,10306.25 
2023,3,ELIZABETH TWP,1,14440.00 
2023,3,ETNA,1,9889.00 
2023,3,MONROEVILLE,1,10360.00 
2023,3,MUNHALL,1,6881.00 
2023,3,OHARA,1,7300.00 
2023,3,SHALER,5,53590.00 
2023,3,SWISSVALE,2,42000.00 
2023,3,TURTLE CREEK,2,11727.00 
2023,3,WEST MIFFLIN,1,1300.00 
2023,3,WHITEHALL,1,12417.00 
2023,3,WILKINSBURG,1,23750.00 
2023,4,BALDWIN BOROUGH,1,10887.00 
2023,4,DUQUESNE,1,21860.00 
2023,4,ETNA,1,14980.00 
2023,4,MONROEVILLE,2,19969.00 
2023,4,NORTH VERSAILLES,1,7650.00 
2023,4,PLUM,1,23175.00 
2023,4,SCOTT,2,31135.00 
2023,4,SHARPSBURG,2,12375.00 
2023,4,WHITAKER,1,9000.00 
2024,1,ASPINWALL,1,23500.00 
2024,1,BEN AVON,1,13900.00 
2024,1,BETHEL PARK,2,14250.00 
2024,1,BLAWNOX,1,5725.00 
2024,1,FRANKLIN PARK,1,23375.00 
2024,1,MONROEVILLE,1,12275.00 
2024,1,NORTH FAYETTE,1,12329.01 
2024,1,NORTH VERSAILLES,1,23635.00 
2024,1,OAKMONT,1,7400.00 
2024,1,STOWE,1,4140.00 
2024,2,BALDWIN BOROUGH,1,22500.00 
2024,2,BRIDGEVILLE,1,8891.00 
2024,2,HARMAR,1,10183.00 
2024,2,MONROEVILLE,2,35188.50 
2024,2,MT OLIVER,1,14425.00 
2024,2,PORT VUE,1,23875.00 
2024,2,ROBINSON,1,23275.00 
2024,2,ROSS,1,23000.00 
2024,2,SHALER,1,24000.00 
2024,2,SHARPSBURG,1,15425.00 
2024,2,WEST MIFFLIN,1,9877.26 
2024,2,WILKINSBURG,2,33700.00 
2024,3,BETHEL PARK,3,51750.00 
2024,3,ETNA,1,10960.00 
2024,3,HARRISON,1,22954.90 
2024,3,WEST MIFFLIN,1,13800.00 
2024,4,BELLEVUE,1,9300.00 
2024,4,CRESCENT,1,18902.00 
2024,4,ETNA,1,11285.00 
2024,4,INGRAM,1,14120.00 
2024,4,MUNHALL,1,11191.00 
2024,4,SHALER,2,44850.00 
