Id,Name,Total Docks,Latitude,Longitude
1,Pierce St & Summerlea St,19,40.45650668,-79.93233059
2,Eliza Furnace Trail & Swineburne St,15,40.4258,-79.9534
3,Centre Ave & Addison St,15,40.4446,-79.9783
4,Burns White Center at 3 Crossings,15,40.4564,-79.98
5,Allegheny Station,19,40.448301,-80.018007
6,10th St & Penn Ave,15,40.4446526,-79.9960739
7,Liberty Ave & Gross St,15,40.4595877,-79.9452035
8,Glasshouse,15,40.4329,-80.003
9,South Side Trail & S 4th St,15,40.431336,-79.995106
10,Zulema St & Coltart Ave,19,40.436055,-79.956827
11,Ellsworth Ave & N Neville St,15,40.448203,-79.947507
12,O'Hara St & University Place,23,40.445117,-79.957118
13,S Bouquet Ave & Sennott St,23,40.441638,-79.955764
14,Tioga St & N Homewood Ave,15,40.45422639,-79.89754441
15,Ivy St & Walnut St,19,40.451781,-79.932253
16,Penn Ave & Putnam St (Bakery Square),19,40.4559,-79.9153
17,Taylor St & Liberty Ave,15,40.462778,-79.950868
18,21st St & Penn Ave,19,40.4518,-79.9833
19,42nd St & Butler St,15,40.470221,-79.96038
20,Boulevard of the Allies & Parkview Ave,23,40.4344,-79.9519
21,Liberty Ave & Stanwix St,15,40.4412,-80.0048
22,Forbes Ave & Market Square,19,40.4407732,-80.0033121
23,North Shore Trail & Fort Duquesne Bridge,23,40.4458,-80.0091
24,Penn Ave & 33rd St,11,40.462,-79.9683
25,Penn Ave & S Whitfield St,15,40.4616,-79.9257
26,S 27th St & Sidney St. (Southside Works),23,40.4279908,-79.9662964
27,W Station Square Dr & Bessemer Court,15,40.4338,-80.0047
28,Fifth Ave & S Bouquet St,23,40.4422,-79.9576
29,Filmore St & S Bellefield Ave,27,40.4451453,-79.95108339
30,Shady Ave & Ellsworth Ave,15,40.4591811,-79.9219961
31,First Ave & B St,15,40.435922,-79.997551
32,Ross St & Fourth Ave,15,40.43770062,-79.99648068
33,Schenley Dr & Schenley Dr Ext,19,40.4423713,-79.9516881
34,N Dithridge St & Centre Ave,19,40.451281,-79.952982
35,Butler St & 36th St,15,40.4652642,-79.965652
36,Penn Ave & S Pacific Ave,15,40.4646,-79.9399
37,S Negley Ave & Centre Ave,15,40.4573163,-79.9343309
38,Allequippa St & Darragh St,23,40.443591,-79.965456
39,S 12th St & E Carson St,19,40.4285997,-79.98637115
40,Penn Ave & 7th St,19,40.44331017,-79.99999588
41,S 22nd St & Sidney St,19,40.42921222,-79.97453456
42,Second Ave & Tecumseh St,19,40.40885729,-79.94368379
43,Eliza St & Lytle St,15,40.41348098,-79.94825428
44,Hamilton Ave & Fifth Ave,15,40.45756979,-79.90995233
45,N Braddock Ave & Hamilton Ave,15,40.45301036,-79.89120369
46,Bennett St & N Homewood Ave,15,40.45662202,-79.8975032
47,17th St & Penn Ave,19,40.44962631,-79.98591786
48,Centre Ave & S Millvale Ave,19,40.453211,-79.947761
49,Technology Dr & Bates St,23,40.43051278,-79.95998894
50,Atwood St & Bates St,19,40.43798695,-79.95370453
51,Coltart Ave & Forbes Ave,18,40.43901176,-79.96029203
52,Bedford Ave & Memory Ln,19,40.44836081,-79.9782682
53,Centre Ave & Heldman St,19,40.44284135,-79.98161559
54,W Ohio St & Brighton Rd,19,40.45246745,-80.01387184
55,Brighton Rd & Pennsylvania Ave,19,40.45640241,-80.01539265
56,Rosetta St & N Aiken Ave,15,40.4670183,-79.93523215
57,52nd St & Butler St,19,40.48028273,-79.95428657
58,W North Ave & Federal St,19,40.45526766,-80.0071234
59,Forbes Ave at TCS Hall (CMU Campus),19,40.44465401,-79.94753545
60,Wilkinsburg Park & Ride,19,40.44690751,-79.88864487
